MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2
RSM2706,0.000843014,5.36E-06,157.2787313,5.390693095,0.458471583
RSM2712,5.19E-05,2.47E-06,21.01214575,2.221596199,0.222670639
RSM2713,0.000515343,1.19E-05,43.30613445,3.111224051,0.808354922
RSM2721,0.000185134,3.30E-06,56.10121212,4.193816907,0.316211951
RSM2722,0.000298584,4.31E-06,69.27703016,4.467166409,0.394762943
RSM2724,0.0248322,4.91E-06,5057.474542,3.660228288,0.4278918
RSM2728,0.000132928,6.05E-06,21.97157025,3.827121724,0.544583154
RSM2729,0.00196696,1.39E-05,141.5079137,2.148719211,0.869822949
RSM2738,8.75E-05,5.71E-06,15.32399299,4.198702585,0.513896225
RSM2742,4.43E-05,1.61E-06,27.51552795,1.630748508,0.149331589
RSM2752,0.00163515,8.87E-06,184.3461105,1.925911625,0.615117465
RSM2754,2.08E-05,1.86E-06,11.1827957,1.661412676,0.178502394
RSM2759,6.68E-05,5.09E-06,13.1237721,4.796704533,0.471688011
RSM2771,0.00036164,1.40E-06,258.3142857,3.400675634,0.132230854
RSM2772,0.00055331,1.50E-06,368.8733333,4.033788247,0.145886054
RSM2774,0.000156123,3.36E-06,46.46517857,4.568196229,0.316768585
RSM2783,7.09E-06,1.44E-06,4.923611111,0.786289292,0.143770273
RSM2785,0.000937151,8.92E-06,105.0617713,6.148717333,0.768363525
RSM2789,2.77E-05,3.47E-06,7.982708934,2.966262307,0.34498081
RSM2800,0.000156943,4.20E-06,37.36738095,4.602055677,0.40075122
RSM2808,2.70E-05,1.91E-06,14.13612565,2.651345351,0.18453793
RSM2817,0.000228261,1.75E-06,130.4348571,1.946875734,0.155967444
RSM2818,0.00071653,1.25E-05,57.3224,3.671458349,0.731748065
RSM2819,0.000181299,4.08E-06,44.43602941,2.585817127,0.358369862
RSM2826,0.000615318,6.16E-06,99.88928571,2.553784101,0.446824858
RSM2827,0.000150823,7.11E-06,21.21279887,4.333069781,0.603043852
RSM2831,6.82E-05,4.86E-06,14.03292181,6.206970537,0.468347281
RSM2836,0.000247304,2.80E-06,88.32285714,1.722678192,0.24729251
RSM2839,8.25E-05,5.31E-06,15.53672316,4.123986633,0.472375615
RSM2842,6.23E-05,2.99E-06,20.8361204,2.233876625,0.270446079
RSM2843,0.00161134,5.20E-06,309.8730769,5.328557458,0.456715424
RSM2845,0.000325878,8.63E-06,37.76106605,4.250011486,0.669969083
RSM2850,0.000213456,3.86E-06,55.29948187,4.089906404,0.368023908
RSM2852,0.000332186,7.08E-06,46.91892655,3.313412204,0.533671784
RSM2861,0.000119224,2.98E-06,40.00805369,3.975174485,0.286018803
RSM2873,0.00063964,8.01E-06,79.85518102,1.454739503,0.466479559
RSM2879,0.000375745,8.63E-06,43.53939745,5.815664881,0.7352691
RSM2882,2.12E-05,1.13E-06,18.76106195,1.322603806,0.103130745
RSM2891,0.00480393,4.48E-06,1072.305804,3.457596052,0.39724629
RSM2895,0.000501028,1.05E-05,47.71695238,5.104509389,0.837333443
RSM2896,0.000158878,2.52E-06,63.0468254,3.804810768,0.240797302
RSM2898,0.000113634,3.62E-06,31.39060773,5.414358443,0.343151727
RSM2904,0.00013401,4.11E-07,326.0583942,3.082263082,0.040030385
RSM2905,0.000223729,5.63E-06,39.73872114,3.944321552,0.480415907
RSM2910,0.000364064,8.00E-06,45.508,1.344242288,0.482001649
RSM2922,0.000305273,1.36E-06,224.4654412,3.606267643,0.128713266
RSM2924,7.51E-05,4.92E-06,15.26422764,6.982774271,0.468603975
RSM2929,0.000215428,6.54E-06,32.94006116,6.958312697,0.589704702
RSM2943,3.43E-05,1.11E-06,30.9009009,1.884957362,0.105475733
RSM2950,0.0002155,3.72E-06,57.93010753,3.05761359,0.327141191
RSM2953,0.00103015,8.00E-06,128.76875,2.406314459,0.582599885
RSM2958,5.40E-05,4.11E-06,13.13868613,4.87367131,0.390327651
RSM2965,9.41E-05,3.69E-06,25.50135501,5.471135727,0.35702171
RSM2966,6.13E-05,2.48E-06,24.71774194,3.345307852,0.245212741
RSM2972,0.00023861,5.84E-06,40.85787671,1.817878021,0.419342323
RSM2975,0.000250328,6.97E-06,35.91506456,5.587027832,0.596403384
RSM2981,6.52E-05,4.45E-06,14.65168539,5.347003606,0.420991303
RSM2982,0.000106709,2.66E-06,40.11616541,1.367366504,0.234096574
RSM2985,0.000158043,6.66E-06,23.73018018,5.455266731,0.590609445
RSM2992,5.29E-05,1.79E-06,29.55307263,0.905822911,0.158119473
RSM2998,0.000337168,3.66E-06,92.12240437,6.354185092,0.342954564
RSM3003,0.000284874,7.63E-06,37.33604194,4.942181669,0.64141297
RSM3007,2.39E-05,2.28E-06,10.48245614,2.135033348,0.219468267
RSM3012,0.000379253,5.74E-06,66.07195122,5.019097332,0.508583138
RSM3013,0.000102097,5.33E-06,19.15515947,5.2885628,0.500438878
RSM3015,1.94E-05,1.58E-06,12.27848101,1.683784662,0.149432248
RSM3019,8.36E-05,5.35E-06,15.62616822,5.608126422,0.517101209
RSM3032,0.000278857,4.93E-07,565.63286,1.419154297,0.047364002
RSM3040,0.000155706,5.42E-06,28.72804428,2.256653828,0.425873309
RSM3044,0.000340989,7.25E-06,47.03296552,3.834156248,0.58860177
RSM3062,4.47E-05,4.16E-06,10.74519231,3.997937937,0.404692681
RSM3065,0.000245969,2.98E-06,82.53993289,4.127030729,0.281876556
RSM3076,0.00023443,3.90E-06,60.11025641,2.579108747,0.35798632
RSM3083,0.00278144,4.14E-06,671.8454106,3.045811636,0.330897007
RSM3084,0.000547962,3.04E-07,1802.506579,0.368417034,0.029860076
RSM3092,0.000240629,6.35E-06,37.89433071,4.832051602,0.542041138
RSM3110,0.00145373,8.43E-06,172.4472123,5.948380108,0.729325643
RSM3120,0.274803,5.77E-06,47626.16984,1.282662515,0.467855114
RSM3126,0.000668075,1.24E-05,53.87701613,5.637448805,0.98896823
RSM3130,0.000267724,7.45E-06,35.93610738,4.825760892,0.548154152
RSM3145,0.000277407,5.06E-06,54.82351779,2.498745733,0.428301239
RSM3148,0.000425537,6.94E-06,61.31657061,1.635867458,0.477277458
RSM3150,0.00105936,1.06E-05,99.93962264,3.471625585,0.806081383
RSM3159,0.000703013,9.23E-06,76.16608884,2.126463307,0.618169215
RSM3169,0.000186208,4.38E-06,42.51324201,4.677315689,0.408832627
RSM3176,0.000102794,6.42E-06,16.01152648,6.551742338,0.584746548
RSM3180,0.000470417,6.55E-06,71.81938931,5.905644166,0.574853558
RSM3195,0.000454555,6.67E-06,68.14917541,3.568057303,0.518192214
RSM3200,0.000311926,3.69E-06,84.53279133,1.396194892,0.293332868
RSM3205,0.000290476,2.07E-06,140.32657,1.167070174,0.177165606
RSM3206,3.31E-05,2.39E-06,13.84937238,2.527549453,0.226298411
RSM3213,0.00104688,3.04E-06,344.3684211,1.369163297,0.249276616
RSM3217,3.94E-05,1.55E-06,25.41935484,2.034814209,0.147871208
RSM3226,0.000122186,7.61E-06,16.05597898,6.416247161,0.690837833
RSM3256,8.91E-05,3.70E-06,24.08108108,3.96354635,0.349778747
RSM3265,0.000102078,5.39E-06,18.93840445,4.585555825,0.497335968
RSM3266,0.000111084,3.80E-06,29.23263158,3.547232552,0.345367275
RSM3273,7.84E-05,1.53E-06,51.24183007,3.1534752,0.146303039
RSM3275,0.000861995,3.71E-06,232.3436658,3.623373558,0.344247554
RSM3284,0.000103475,4.77E-06,21.69287212,3.415399306,0.430258201
RSM3286,0.000111762,6.08E-06,18.38190789,5.128041532,0.562926218
RSM3287,3.02E-05,2.86E-06,10.55944056,3.118805686,0.280188938
RSM3305,3.98E-05,3.05E-06,13.04918033,2.779054692,0.287690594
RSM3317,9.49E-05,4.32E-08,2196.759259,3.225715306,0.004215485
RSM3320,4.13E-05,4.20E-06,9.833333333,3.833502722,0.410795974
RSM3323,2.17E-05,2.74E-06,7.919708029,2.043354577,0.269100181
RSM3324,0.000366122,1.69E-06,216.6402367,2.500783393,0.160486339
RSM3334,2.62E-05,2.81E-06,9.323843416,2.368908367,0.280318916
RSM3337,2.28E-05,4.44E-06,5.135135135,2.22874739,0.448996016
RSM3341,0.000147966,5.20E-06,28.455,1.466850839,0.393831343
RSM3355,4.28E-05,4.39E-06,9.749430524,4.420270166,0.440529896
RSM3363,0.000169694,4.94E-06,34.35101215,2.900543312,0.413912641
RSM3364,0.000248064,6.49E-06,38.22249615,4.695425544,0.573691953
RSM3369,0.000120461,1.97E-06,61.14771574,0.861045461,0.159280766
RSM3372,0.000346343,5.58E-06,62.06863799,5.97677861,0.499867122
RSM3373,0.000196252,6.12E-06,32.06732026,8.789444323,0.577811698
RSM3388,0.000387869,9.39E-06,41.30660277,2.611800508,0.657509483
RSM3391,0.00037617,1.10E-05,34.19727273,9.736535332,0.953954795
RSM3396,2.91E-05,3.62E-06,8.038674033,3.150655518,0.353237573
RSM3399,7.50E-05,4.31E-06,17.40139211,3.993411853,0.40077639
RSM3405,6.24E-05,3.99E-06,15.63909774,3.869612498,0.36779757
RSM3407,0.000132918,6.09E-06,21.82561576,2.390201577,0.506828626
RSM3408,0.000305303,8.55E-06,35.70795322,3.126424253,0.618592989
RSM3410,6.09E-05,3.96E-06,15.37878788,3.702618623,0.376863525
RSM3415,3.47E-05,6.23E-07,55.69823435,0.935159217,0.059800691
RSM3416,0.000182759,6.62E-06,27.6070997,5.944534516,0.574426446
RSM3419,0.000199335,6.94E-06,28.72262248,4.651094872,0.586066658
RSM3420,4.11E-05,3.48E-06,11.81034483,3.716045029,0.333793439
RSM3423,0.000272556,8.97E-06,30.38528428,6.082704275,0.724450275
RSM3426,0.000818662,2.05E-05,39.93473171,3.834456659,1.255746813
RSM3438,4.70E-05,1.15E-06,40.86956522,0.856047395,0.099628628
RSM3442,2.91E-05,2.52E-06,11.54761905,1.674260999,0.236564025
RSM3455,0.000137408,5.00E-06,27.4816,5.778441047,0.470244448
RSM3457,2.49E-05,2.39E-06,10.41841004,2.119731526,0.229102136
RSM3461,0.000765001,1.12E-05,68.30366071,3.308893739,0.743662205
RSM3468,0.000325345,3.80E-06,85.61710526,2.549590581,0.333724473
RSM3469,5.18E-05,9.78E-07,52.96523517,1.37066385,0.093933338
RSM3474,0.00028831,3.09E-06,93.30420712,3.458535318,0.283397673
RSM3478,0.000169564,6.10E-06,27.79737705,7.697873695,0.579730419
RSM3481,0.00179163,1.53E-05,117.1,3.379860002,0.805692164
RSM3485,0.00022131,3.17E-06,69.81388013,2.607678965,0.275064911
RSM3497,0.000435597,5.87E-06,74.20732538,4.398859195,0.532871993
RSM3517,0.000129533,5.47E-06,23.68062157,5.428601824,0.503971344
RSM3545,9.30E-05,4.96E-06,18.75,7.566902984,0.478118032
RSM3546,2.26E-05,1.74E-06,12.98850575,2.275754436,0.167293247
RSM3548,0.000273528,9.53E-06,28.70178384,5.904516143,0.798215189
RSM3554,2.28E-05,3.19E-06,7.147335423,2.487510039,0.316190011
RSM3565,5.32E-05,1.71E-06,31.11111111,3.186963237,0.161706391
RSM3582,8.51E-05,3.67E-06,23.1880109,3.729937341,0.336529809
RSM3594,0.000167731,3.15E-06,53.24793651,1.1349424,0.259606896
RSM3596,0.000249536,4.53E-06,55.08520971,3.938208681,0.40212992
RSM3604,4.15E-05,1.94E-06,21.39175258,0.936445222,0.169362866
RSM3610,0.000191732,1.50E-06,127.8213333,2.212411139,0.138218457
RSM3616,0.000192479,4.00E-06,48.11975,0.529952515,0.223316214
RSM3629,0.000574926,2.44E-06,235.6254098,3.446721062,0.228446246
RSM3630,0.000107945,5.49E-06,19.66211293,5.792755483,0.518537402
RSM3657,6.68E-05,5.36E-06,12.46268657,4.910954723,0.516270956
