pk,homo_energy,lumo_energy,bandgap,label,path,potential,var,homo_align,lumo_align,homo_align_corr,lumo_align_corr,bandgap_corr,direct_band_gap_energy,direct_band_gap,band_gap_energy,band_gap_transition,vbm,cbm,effective_mass_hole,effective_mass_electron,cellopt_retrieved,spatial_overlap,spatial_overlap_corr,Unnamed: 0
126217,-0.0267515263569,1.5209076763277,1.547658,18131N3_ddec.cif,a0657e4e-da76-4f65-a677-0dfe29550b8b,4.403308272996297,0.0179138376704954,-4.430059799353197,-2.882400596668597,-5.226915188048992,-2.3551023796270782,2.811473206,1.55003437,False,1.55002612,Y-\Gamma,-0.02762891,1.52239721,5342.7484120951285,0.3687373008609392,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/4d/32/519d-d619-41f9-960d-4020486862c8/path,0.709518551826477,0.6630198542296886,397.0
116571,-0.83445959156819,0.61929443373736,1.453753,16200N2_ddec.cif,818e9d60-51ac-4d89-a6f3-64600e04a082,5.666804076637778,0.0001014503654561,-6.501263668205968,-5.047509642900418,-7.311581882049306,-4.574490709647931,2.6981298710000003,1.45557466,True,1.45557466,\Gamma-\Gamma,-0.83597416,0.6196005,0.2426999046693344,0.2449501490574189,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/fc/64/068b-761b-4ab7-b9e6-1d115d21c31d/path,0.5534716844558716,0.4905084818828106,399.0
116569,-1.10485599806331,0.26351273889009,1.368368,16201N2_ddec.cif,b097a41b-3aae-4e5a-bc2c-08d1d75fe581,4.544616060173703,0.0314726573483862,-5.649472058237013,-4.281103321283613,-6.454253626615554,-3.788870581548193,2.595070176,1.37588543,False,1.36462699,X-V2,-1.09738195,0.26724504,0.3386869425384035,0.3663640003118533,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/71/d3/4008-2942-470c-87cb-de3e866c030f/path,0.5485941171646118,0.4851162824666499,400.0
116540,-1.21264524755413,0.65283275511885,1.865477,16230N2_ddec.cif,1d1a4640-7e3e-4426-bcce-7ffdf1612525,3.533238907415185,0.0004838236247993,-4.745884154969316,-2.880406152296336,-5.544792401976617,-2.3530579345344047,3.195080739,1.62430844,False,1.55546146,R2-Y,-1.13309537,0.42236609,0.3914620859025835,0.5646404856711125,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/27/f7/9bab-fc09-4a79-b2cc-30ef225e820e/path,0.6720376014709473,0.6215842888021469,404.0
138132,-1.8989039409766,-0.50591895614583,1.392984,20640N2_ddec.cif,b451685b-57ed-4d31-a0e3-2c33392dd019,2.162880916411926,7.821268369821193e-05,-4.061784857388526,-2.668799872557756,-4.856246458961551,-2.136146685362779,2.624781688,1.90835967,False,1.39054977,Y-R2,-1.89662583,-0.50607606,13.373274786358795,0.1277277126080243,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/55/f7/6ad1-fcc7-4d76-b33b-c6933e01a8f2/path,0.4062398076057434,0.3277421697062254,405.0
138103,-1.7141358206267,-0.1083070824137899,1.605828,21033N2_ddec.cif,f4fb3282-cd4c-4bef-a07a-6c59751526fb,3.076359518205184,8.530426943944833e-06,-4.790495338831884,-3.184666600618974,-5.589693558534291,-2.664946192296492,2.8816843960000003,1.73900378,False,1.61752077,Y-M2,-1.72287395,-0.10535318,0.2579279916115881,0.1381027183691962,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/d1/23/8019-a288-4cad-8a0e-e4733c7a970a/path,0.7741074562072754,0.734423533911705,406.0
138231,-1.66245974124176,-0.0946907704681799,1.567768,21035N2_ddec.cif,342deb7a-9f9d-41b0-9a84-03aa350d3c86,2.996428553216666,1.6893463151515813e-06,-4.658888294458427,-3.091119323684846,-5.457231068372407,-2.569053685129625,2.835745976,1.56696641,True,1.56696641,\Gamma-\Gamma,-1.66244189,-0.09547548,0.4514187770968977,0.3893807581707851,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/b9/9c/9e42-2c07-422d-9582-feda2972e3c1/path,0.7461934685707092,0.7035643414396048,409.0
138393,-2.52941164801388,-1.29752168274498,1.231889,21014N2_ddec.cif,97674c5a-a749-4ce5-a388-dd19064c9922,1.5931004249213332,5.1232004905568166e-05,-4.122512072935213,-2.890622107666313,-4.917368401409292,-2.363530003905507,2.4303400230000003,1.21211045,True,1.21211045,\Gamma-\Gamma,-2.52929169,-1.31718124,1.6627387748011313,2.237952833075999,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/51/65/6aa2-5682-47a5-84cd-1e92c43c3b61/path,0.6272240281105042,0.5720424353164434,411.0
138368,-2.17397336102199,-0.46337066844145,1.710602,20641N2_ddec.cif,ab877efa-669f-4da3-837d-270a7133d357,2.127549434384408,8.584158151456048e-05,-4.301522795406397,-2.5909201028258577,-5.097542693576538,-2.0563144698037017,3.008146614,1.88392984,False,1.70861543,Z-X,-2.17329842,-0.46468299,608.1333107733727,0.3042669631812235,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/06/89/f1f1-7377-41b0-bba0-ec8c6b9087dc/path,0.6996194124221802,0.6520762566268444,412.0
110777,-0.465015597511,1.86742824363931,2.332443,07001N2_ddec.cif,6e51ca49-0101-4f34-a0d7-bb0fd5525a55,4.455886742841852,4.996694738398284e-05,-4.920902340352852,-2.5884584992025417,-5.720948205565145,-2.0537911537775493,3.758708701,2.27477871,False,2.21228579,X-Y,-0.43867863,1.77360716,4.342845086834219,0.7488210972888816,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/c0/0e/64d6-64c6-484d-8d6b-f9600cd9ea95/path,0.5363452434539795,0.4715750300908088,413.0
111345,-2.67730614580686,-0.81299306312507,1.864312,07000N2_ddec.cif,eba45d2d-54c1-40bd-ab8f-d5c5cbaeb157,1.8472276801823333,1.4323188551700085e-05,-4.524533825989193,-2.6602207433074034,-5.322003295858123,-2.12735247734212,3.193674584,1.86455802,False,1.86434568,Y-\Gamma,-2.67722409,-0.81287841,416.0741729397374,0.1672682065328373,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/a6/a8/834a-72c0-49d1-8424-9c692b6bd431/path,0.5262688994407654,0.4604355310207605,414.0
111643,-4.240020054988211,-0.71487420061087,3.525144,07010N3_ddec.cif,dada8bd9-ace3-4013-9140-19eaaa70e66f,1.827912626040296,4.8726143236219144e-08,-6.067932681028507,-2.542786826651166,-6.875434243455192,-2.006974492395311,5.1982988080000005,3.52448253,True,3.52448253,\Gamma-\Gamma,-4.23991332,-0.71543079,6.024766281454963,3.431422455936047,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/f0/01/0386-6531-4dd0-833b-5cc182c96da5/path,0.6664091348648071,0.6153619626843929,415.0
110720,-1.56866830751053,1.48266069446325,3.051328,05000N2_ddec.cif,c4232c59-6cb9-485f-b450-769d2dd545bf,4.191744684919259,0.0194452215731281,-5.760412992429789,-2.709083990456009,-6.565915676880582,-2.1774407260967408,4.626402896,3.04942882,False,3.04765407,Z-\Gamma,-1.56688265,1.48077142,55.616361078917485,0.397181885279144,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/c3/e3/9318-c01d-4285-b735-a7979d18928c/path,0.5228356719017029,0.4566400636440515,416.0
111095,-1.63595556650177,0.38995594662339,2.02591,07002N2_ddec.cif,e1e78edf-01b4-4520-ad63-0953e75a0a46,2.932733722964815,0.0003617189895139,-4.568689289466585,-2.542777776341425,-5.366445769848117,-2.0069652151943043,3.38872337,2.02312398,False,2.01516822,\Gamma-Z,-1.63610175,0.37906647,1.7839047043966425,3.962873234755049,/home/beatriz/aiida1/.aiida/repository/Beatriz/repository/node/2b/72/e77b-c991-4eed-b363-a386504dd70b/path,0.5627902150154114,0.5008102106016874,417.0
