MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2,iast_b_co2,iast_b_n2,iast_b_sel,t_sel_co2/n2,t_sel_co2/h2o,t_sel_n2/h2o,water_resistance
RSM4181,0.00229691,1.87E-06,1228.294118,0.894192423,0.158639527,0.742240708,0.022299353,737.2077953,151.8517084,0.008636072,5.69E-05,0.012374005
RSM4197,0.000817576,1.36E-06,601.1588235,0.926362082,0.126725323,0.493452262,0.038825414,281.4922655,43.90176045,0.000948126,2.16E-05,0.002061162
RSM4199,0.000611118,1.62E-06,377.2333333,0.912987651,0.141015333,0.451333669,0.047880287,208.7749609,22.13636364,1.03E-05,4.64E-07,3.25E-05
RSM4210,4.96E-05,3.20E-06,15.5,4.129794428,0.309997346,0.146358097,0.241224796,13.4379254,28.64838481,0.006146676,0.000214556,0.454489303
RSM4212,0.000368985,7.34E-06,50.27043597,2.746267016,0.558383922,0.589384914,0.314364439,41.52436711,8.351672715,0.027747454,0.003322383,0.139041105
RSM4216,0.000369206,6.45E-06,57.24124031,2.103956417,0.442926405,0.503469782,0.22939152,48.61087858,43.13875538,0.025503215,0.00059119,0.098513717
RSM4228,4.26E-05,2.52E-06,16.9047619,2.963440064,0.244915079,0.121015626,0.193842366,13.82707025,17.03710759,0.001876279,0.000110129,0.174187228
RSM4230,0.000173683,6.39E-06,27.18043818,3.389285402,0.512131229,0.411799692,0.353676938,25.7879426,161.2503216,0.112072112,0.000695019,0.578154783
RSM4232,0.000596149,8.18E-06,72.87885086,2.211681359,0.46488012,0.680070703,0.207531078,72.57855961,138.8664882,0.009300353,6.70E-05,0.027663414
RSM4237,5.37E-05,3.08E-06,17.43506494,3.496074091,0.304366938,0.144924278,0.241338444,13.30001277,15.26384906,0.004946191,0.000324046,0.275989057
RSM4240,2.05E-05,3.66E-06,5.601092896,2.062939203,0.376297683,0.068996386,0.314555252,4.858104158,4.9830644,0.140548357,0.028205206,0.885483871
RSM4241,0.000181763,4.94E-06,36.79412955,4.885912742,0.480897975,0.432205596,0.353878893,27.05036602,30.89826105,0.03577823,0.001157937,0.611856457
RSM4255,5.96E-05,4.24E-06,14.05660377,3.74368863,0.399063896,0.164234433,0.306134653,11.88198892,17.55449687,0.011708406,0.000666975,0.539573802
RSM4258,0.000265481,1.92E-06,138.2713542,5.147497544,0.18767086,0.683184493,0.131683942,114.9059721,136.1060611,2.79E-05,2.05E-07,0.000277492
RSM4260,0.00418582,8.40E-06,498.3119048,3.714801186,0.682946693,1.840846576,0.165301586,246.6482244,86.48035126,0.001802259,2.08E-05,0.005541317
RSM4271,0.00020491,6.76E-06,30.31213018,3.785732503,0.563617612,0.441474099,0.373561816,26.17460704,41.50515236,0.019089762,0.000459937,0.224944628
RSM4278,1.63E-05,2.51E-06,6.494023904,1.43644522,0.250081656,0.052016748,0.204841644,5.624220838,5.747170368,0.291552265,0.050729706,0.937215855
RSM4290,9.91E-05,5.27E-06,18.80455408,3.838994465,0.459444704,0.213757816,0.325747081,14.53379038,15.10244915,0.826850881,0.054749456,0.924912966
RSM4294,0.000179431,5.13E-06,34.97680312,2.909168595,0.421811036,0.310486715,0.273820435,25.11392466,25.37415685,0.014721252,0.000580167,0.265722662
RSM4297,0.00282898,2.22E-06,1274.315315,2.186672396,0.207783291,1.607889574,0.041652342,854.9765716,86.73477664,0.005046661,5.82E-05,0.008747005
RSM4298,0.0005211,7.02E-07,742.3076923,1.967304398,0.069350037,0.586179136,0.02809775,462.0577142,117.5994313,0.011271096,9.58E-05,0.043302839
RSM4306,2.46E-05,3.59E-06,6.852367688,2.552840298,0.362471443,0.080072115,0.293971139,6.032731921,6.346041292,0.307202789,0.048408571,0.941717789
RSM4311,2.37E-05,3.54E-06,6.694915254,2.429591536,0.352296065,0.076965029,0.286816361,5.943290176,6.017698261,0.416412342,0.069197943,0.934510672
RSM4322,0.000722906,7.03E-06,102.8315789,5.198621234,0.594240916,1.080485688,0.304621583,78.55896769,183.7405243,0.009115943,4.96E-05,0.050927971
RSM4327,0.000101136,6.50E-06,15.55938462,6.407466943,0.611118209,0.282873405,0.467466778,13.40228307,18.65065387,0.011250233,0.000603208,0.474195769
RSM4338,0.00170874,8.58E-06,199.1538462,1.000129473,0.377939802,0.513538399,0.10471923,108.613524,201.0635406,0.168064274,0.000835876,0.283120345
RSM4356,0.000468687,4.31E-06,108.7440835,2.354717714,0.342231953,0.566347018,0.171782707,73.0197926,111.6641174,0.00328155,2.94E-05,0.0193197
RSM4357,4.85E-05,2.78E-06,17.44604317,2.671946123,0.269511425,0.125056144,0.20264772,13.66786664,14.18178182,0.048887793,0.003447225,0.67631247
RSM4362,0.000180689,3.03E-06,59.63333333,3.02647963,0.296919748,0.270265663,0.185224316,32.31694464,11.17466938,0.005456686,0.000488308,0.122329543
RSM4364,0.000306555,5.46E-06,56.1456044,4.735601479,0.483635691,0.590430671,0.308584431,42.37720586,162.3736775,0.002241592,1.38E-05,0.025241635
RSM4370,2.22E-05,3.59E-06,6.183844011,2.62516935,0.357309592,0.07470555,0.291414626,5.677784988,6.21891822,0.161825648,0.026021511,0.997765016
RSM4380,3.23E-05,1.91E-06,16.91099476,1.57111318,0.178232608,0.087202914,0.121511284,15.89468065,17.87193543,0.409837195,0.022931887,0.90783506
RSM4385,0.000113736,5.02E-06,22.65657371,3.138843032,0.44321116,0.275486367,0.307678769,19.83078942,26.810537,0.018997393,0.000708579,0.254626824
