MOF,kh_co2,kh_n2,kh_sel,pq_co2,pq_n2,iast_b_co2,iast_b_n2,iast_b_sel,t_sel_co2/n2,t_sel_co2/h2o,t_sel_n2/h2o,water_resistance
RSM0175,0.000156099,4.15E-06,37.61421687,4.010012488,0.350894697,1.177959314,0.178488827,36.79041408,113.8562277,0.000936484,8.23E-06,0.01511179
RSM0177,0.000293598,4.40E-06,66.72681818,5.029786354,0.404789491,2.098763532,0.188892549,61.93898785,80.48401698,0.000290477,3.61E-06,0.002949011
RSM0191,0.0174279,1.60E-06,10892.4375,3.905854459,0.157301551,3.901172922,0.005411333,4018.891954,114.930574,5.51E-05,4.79E-07,0.00023357
RSM0195,0.000177963,5.34E-06,33.32640449,2.83119416,0.428414761,1.088300109,0.194813202,31.14194333,42.87578745,0.010867274,0.000253459,0.099301651
RSM0199,0.0317676,2.75E-06,11551.85455,1.463917037,0.225468701,1.45986292,0.006934749,1173.536943,109.2923455,0.000188508,1.72E-06,0.001296874
RSM0220,0.000380366,1.57E-05,24.22713376,5.942853215,1.182962252,2.300279001,0.505432652,25.37071117,54.32576144,0.005192411,9.56E-05,0.056942617
RSM0226,0.00176656,2.65E-05,66.66264151,3.133998117,1.497053067,2.347025155,0.282672931,46.28592459,64.1031978,0.092098424,0.001436721,0.22765694
RSM0227,3.04E-05,2.54E-06,11.96850394,3.353113108,0.240440927,0.345126589,0.16945699,11.35361993,12.98788212,0.033619851,0.002588555,0.875176137
RSM0228,3.35E-05,2.46E-06,13.61788618,3.731849267,0.23785289,0.381561156,0.166661531,12.76274846,19.65953757,0.003671248,0.000186741,0.263218232
RSM0229,0.00100717,5.79E-06,173.9499136,3.346433494,0.485006151,2.386557829,0.088962899,149.5472593,366.1187528,0.000799623,2.18E-06,0.004389792
RSM0230,3.51E-05,2.48E-06,14.15322581,4.251315533,0.235027899,0.389437728,0.16538462,13.12678359,18.95485393,0.003261278,0.000172055,0.250093472
RSM0234,2.81E-05,2.38E-06,11.80672269,3.390288244,0.228860387,0.316703216,0.161797001,10.9118259,13.0380857,0.009699258,0.000743917,0.584817103
RSM0235,3.45E-05,4.93E-07,69.97971602,1.020989489,0.049122726,,,,,,,
RSM0239,0.000193868,2.28E-06,85.02982456,3.11210813,0.216897566,1.223445489,0.096253158,70.857375,64.21996915,0.000619172,9.64E-06,0.006008408
RSM0243,0.00124362,2.11E-05,58.93933649,3.337043675,1.319011,2.596248991,0.250329429,57.81624107,265.5553128,0.000440586,1.66E-06,0.002195247
RSM0247,0.000661255,6.05E-06,109.2983471,4.273617572,0.495251787,2.270259053,0.125245118,101.0485374,132.2081111,0.00067572,5.11E-06,0.004432937
RSM0248,0.000137641,3.16E-06,43.55727848,3.145731159,0.281526104,0.963874932,0.13831698,38.84727934,86.66053458,0.000496445,5.73E-06,0.006895884
RSM0258,0.000307669,1.39E-06,221.3446043,3.409616859,0.130675808,1.667593009,0.038402374,242.0735922,179.4825275,8.11E-05,4.52E-07,0.000533015
RSM0270,9.37E-05,1.61E-06,58.19875776,2.435792116,0.152464081,0.679672215,0.079130132,47.88208422,72.86538179,0.001616707,2.22E-05,0.022738639
RSM0277,6.89E-05,2.37E-06,29.07172996,1.787555007,0.20420458,0.473923574,0.110614424,23.8842699,31.31504157,0.010061438,0.000321297,0.16048222
RSM0278,0.000385988,5.57E-06,69.29766607,3.847558132,0.461796265,1.76419979,0.156665073,62.77561857,42.38564155,0.000460252,1.09E-05,0.004130789
RSM0281,0.000656091,1.31E-05,50.08328244,3.806088761,0.970244123,2.308452548,0.270469892,47.57923387,52.25199936,0.175996902,0.003368233,0.485954047
RSM0285,0.000182486,1.73E-06,105.483237,3.122666144,0.163454147,1.296319385,0.077572358,93.15806137,161.7037622,0.000709795,4.39E-06,0.008350478
RSM0287,4.95E-05,1.91E-06,25.91623037,2.797752613,0.181442042,0.45585661,0.117412364,21.64361729,24.42500961,8.81E-05,3.61E-06,0.00499753
RSM0288,0.00248119,7.12E-06,348.4817416,5.631034134,0.601811018,3.775579013,0.080760148,260.6164809,69.8810125,0.000812092,1.16E-05,0.004856231
RSM0290,4.42E-05,8.18E-08,540.3422983,2.979207924,0.007751351,,,,,,,
RSM0299,0.000147598,2.95E-06,50.03322034,6.362731628,0.278537447,1.303897186,0.16973806,42.82324117,113.8603865,0.000783585,6.88E-06,0.016139158
RSM0304,2.11E-05,2.26E-07,93.36283186,1.016335407,0.021562358,0.162391771,0.012818845,70.62045786,120.2152265,0.00313204,2.61E-05,0.174528836
RSM0308,0.00131361,1.54E-05,85.29935065,3.679781793,1.06293682,2.673511015,0.188125007,79.22292455,103.5545587,0.005206699,5.03E-05,0.019302772
RSM0309,2.84E-05,2.26E-06,12.56637168,2.144789136,0.210332153,0.272610743,0.134191016,11.32491485,67.94112361,0.00015136,2.23E-06,0.008324201
RSM0313,0.00109746,3.29E-06,333.5744681,5.246545288,0.273042519,2.424264888,0.042129318,320.7827904,251.3850833,0.000789178,3.14E-06,0.006010235
RSM0316,9.69E-05,9.01E-07,107.5471698,1.649344534,0.087768958,0.581479138,0.042561221,76.16149939,57.36239356,0.000806233,1.41E-05,0.010041509
RSM0322,0.00578301,4.49E-06,1287.975501,2.498877446,0.388827085,2.29962248,0.023957089,535.1036617,43.58376629,0.000115618,2.65E-06,0.000692345
RSM0324,0.000107443,1.90E-06,56.54894737,2.425986316,0.176990909,0.740146996,0.085506273,48.25423393,38.99126898,0.00836779,0.000214607,0.10240375
RSM0327,0.000119353,2.86E-06,41.73181818,1.096423799,0.202580464,0.486486779,0.084414818,32.12682249,19.83011157,0.002485713,0.00012535,0.019024257
RSM0328,0.000156289,3.77E-06,41.45596817,3.174002039,0.32574457,1.052342937,0.153513865,38.21422937,85.66866273,0.003426525,4.00E-05,0.046900887
RSM0331,0.000465132,9.02E-06,51.56674058,1.495999975,0.524535354,0.929704236,0.116712181,44.40624464,477.9034023,0.000673461,1.41E-06,0.00397179
RSM0337,0.000136288,2.92E-06,46.6739726,4.391246344,0.270314476,1.09821545,0.143719277,42.59787605,43.37612366,0.000299953,6.92E-06,0.004680661
RSM0342,0.000260533,5.70E-06,45.70754386,1.314649081,0.388199909,,,,,,,
RSM0366,1.89E-05,3.60E-06,5.25,2.137355793,0.349534385,,,,,,,
RSM0369,0.00155495,1.44E-05,107.9826389,3.113812779,0.97038069,2.185939607,0.176543378,69.02432181,64.26406683,2.022390407,0.031470003,0.859729779
