MOF,Molecule,Uptake_sat [mol/kg],Henry [mol/kg/Pa],Heat_henry [kJ/mol],Uptake_des [mol/kg],Heat_des [kJ/mol],Uptake_CO2_bin [mol/kg],Uptake_CO2_ter [mol/kg],WRC [-]
RSM0011,H2O,11.5643685,0.00241673,-49.54980883,6.172504783,-56.19459,0.675930093,0.005386829,0.007969506
RSM0016,H2O,11.030625,0.0202453,-54.7455402,2.939280343,-50.27637,0.010319515,0.000812709,0.078754576
RSM0022,H2O,14.819166,1.61E-05,-28.41859535,0.049137922,-25.38176,0.032124466,0.027421018,0.853586726
RSM0042,H2O,2.36448315,0.000158516,-38.42310379,0.461548811,-41.71975,0.030379181,0.000741979,0.024423914
RSM0047,H2O,30.9545145,0.00105208,-35.73888835,2.215379224,-36.83896,0.071427802,0.002839357,0.039751419
RSM0055,H2O,13.7855895,0.00015107,-35.45575305,0.681878901,-35.57583,0.72667427,0.007906252,0.010880049
RSM0056,H2O,31.3575555,5.03E-06,-15.38614386,0.087517765,-19.67899,0.110551841,0.108693876,0.983193724
RSM0059,H2O,20.478168,0.00295019,-45.10562183,2.367373895,-42.25158,0.628585822,0.002588067,0.004117286
RSM0068,H2O,10.79475,0.160233,-54.0131401,8.961505664,-68.51478071,3.465894825,0.001732937,0.000499997
RSM0079,H2O,8.4741285,0.00178636,-49.63220888,1.514758276,-45.69019,0.143825698,0.007438577,0.051719389
RSM0081,H2O,18.534447,0.000116747,-34.55805154,0.840662649,-37.48957,0.588624177,0.018666639,0.031712321
RSM0086,H2O,26.614359,0.000195857,-30.24628577,0.676853278,-30.99066,0.20834178,0.014945225,0.07173417
RSM0096,H2O,18.5117475,5.26E-05,-28.17825103,0.318511496,-30.02798,0.217158911,0.003374436,0.015539018
RSM0097,H2O,12.575523,0.000879718,-39.70167999,1.342335767,-39.81766,0.329924931,0.004902302,0.014858841
RSM0107,H2O,8.8668465,2.97E-05,-30.72499422,0.101957,-30.16497,0.117827066,0.002296983,0.019494529
RSM0109,H2O,9.5282955,3.14E-05,-30.94269203,0.115949285,-29.54443,0.090322385,0.01242837,0.137600108
RSM0118,H2O,11.667654,3.42E-05,-31.77924774,0.13533657,-31.97841,0.119250396,0.012105687,0.101514853
RSM0136,H2O,13.0244625,0.000156808,-35.41318583,0.358695723,-34.09736,0.128822698,0.013887636,0.107804262
RSM0145,H2O,38.0242155,3.11E-05,-24.95190832,0.139143751,-24.40504,0.044718431,0.041827639,0.93535569
RSM0148,H2O,12.384381,0.0391629,-56.38003,5.689893178,-55.25595,0.460063243,0.018784059,0.040829297
RSM0151,H2O,32.9189925,0.0173592,-54.77116222,5.525232245,-48.36852,0.130190148,0.009806452,0.075324073
RSM0158,H2O,23.701608,2.51E-05,-24.70288963,0.11111588,-23.88661,0.322122794,0.259018079,0.804097333
RSM0171,H2O,4.526691,0.000180554,-37.35277367,0.446591466,-36.94493,0.616167998,0.003437923,0.005579522
RSM0172,H2O,18.7275315,4.74E-05,-29.19236864,0.157667343,-28.03415,0.328897822,0.176298866,0.53602929
RSM0175,H2O,15.3501345,0.00920765,-57.61761066,4.548790433,-48.39924,0.389411145,0.008106408,0.020817092
RSM0177,H2O,17.1513315,0.897451,-67.48652831,11.06596447,-56.48141,0.735230316,0.002229773,0.003032754
RSM0191,H2O,13.174146,6990010000,-125.7343401,9.095803941,-56.66438,3.395224475,0.000411392,0.000121168
RSM0195,H2O,13.2879765,2.25E-05,-26.20211325,0.116262055,-29.15687,0.402620939,0.110388643,0.274175117
RSM0199,H2O,8.5440585,1956670,-108.1127658,7.39360282,-54.88708,1.382936175,0.00046117,0.000333472
RSM0202,H2O,11.5057605,3.28E-05,-32.86264685,0.067413067,-27.50192,0.366749353,0.286793218,0.781986976
RSM0220,H2O,23.912841,2.11E-05,-24.62217118,0.072135599,-21.6217343,0.153581993,0.138989661,0.904986696
RSM0226,H2O,8.2530165,0.000100659,-32.60894149,0.2733525,-35.29011,1.393607633,0.142973461,0.102592335
RSM0227,H2O,31.6422705,1.85E-05,-26.35399528,0.072952586,-22.45231,0.094943786,0.095831572,1.009350649
RSM0228,H2O,25.825815,3.25E-05,-28.48160352,0.100482488,-24.45876,0.103411453,0.063683194,0.615823412
RSM0229,H2O,11.2715505,0.011954,-53.72891708,6.926528853,-55.17817,1.3993528,0.003421645,0.002445163
RSM0230,H2O,28.43265,8.72E-05,-32.70486457,0.174466723,-29.08433,0.114264501,0.061526524,0.538457035
RSM0234,H2O,29.931705,4.11E-05,-30.35902888,0.106782953,-24.62574,0.091343167,0.085079101,0.931422723
RSM0235,H2O,4.79744775,0.00101297,-44.19121498,2.673945385,-55.16139,0.088356028,0.000704468,0.007973062
RSM0239,H2O,11.966133,0.00132985,-39.63949482,2.147192169,-43.27771,0.443751733,0.003241912,0.007305689
RSM0243,H2O,12.0837375,0.0804688,-57.0479674,6.969361295,-55.57978,1.558131552,0.002155244,0.001383223
RSM0247,H2O,14.3782185,0.000955981,-40.10180194,2.720806577,-45.56266,1.128591389,0.005062888,0.004486024
RSM0248,H2O,12.3193905,0.000863839,-40.72239194,1.932517903,-43.98379,0.338530496,0.005589286,0.016510435
RSM0258,H2O,8.596173,32.1224,-74.71800711,6.337778333,-58.90058,0.620750291,0.000239873,0.000386424
RSM0270,H2O,10.2653355,0.0004587,-39.63769205,0.756341839,-38.56292,0.235295613,0.006887885,0.029273326
RSM0277,H2O,10.1560005,1.80E-05,-26.19504071,0.078864697,-27.33495,0.167358102,0.05757668,0.34403282
RSM0278,H2O,14.824827,0.0101628,-49.2838136,8.291852525,-52.5785,0.757670549,0.004280478,0.005649525
RSM0281,H2O,12.571527,2.06E-05,-25.53170628,0.094946677,-27.7101,1.080276089,0.630400083,0.583554601
RSM0285,H2O,11.6017755,0.0118847,-55.55702623,5.139543496,-57.96578,0.446218197,0.0076633,0.017173885
RSM0287,H2O,25.347627,0.00360761,-44.66018957,3.793264237,-41.02288,0.142345781,0.00181917,0.012779937
RSM0288,H2O,20.1996135,32.7392,-68.13571638,9.746219264,-47.33742,2.588334053,0.005560649,0.00214835
RSM0290,H2O,7.5941205,906.265,-87.45502061,7.243217779,-63.67963,0.116125774,0.000194842,0.001677852
RSM0299,H2O,23.6791305,0.0459045,-53.40151189,2.423855471,-37.56616,0.402188344,0.006849537,0.01703067
RSM0304,H2O,8.324223,0.000174874,-39.07284835,0.289815097,-38.85596,0.060896281,0.017289478,0.283916809
