MOF,Molecule,Uptake_sat [mol/kg],Henry [mol/kg/Pa],Heat_henry [kJ/mol],Uptake_des [mol/kg],Heat_des [kJ/mol],Uptake_CO2_bin [mol/kg],Uptake_CO2_ter [mol/kg],WRC [-]
RSM2467,H2O,12.308901,0.000119652,-34.63107401,0.857492177,-37.61575,1.809697811,0.105602923,0.058353899
RSM2469,H2O,21.72825,0.000284391,-38.07244622,0.941310562,-39.31571,0.659348279,0.095008548,0.144094633
RSM2476,H2O,15.9952665,0.000134959,-37.31937578,0.275512587,-34.01703,0.642171379,0.087432203,0.136150888
RSM2477,H2O,23.4591285,0.85102,-61.60338793,13.33718216,-50.03288,2.704353797,0.021183401,0.007833073
RSM2481,H2O,5.4560496,0.0952563,-61.31137159,4.956981565,-64.93976,0.831878038,0.000230033,0.000276522
RSM2492,H2O,58.84998,0.000144177,-34.8168399,0.270181648,-27.80187,1.159862248,0.757889019,0.653430198
RSM2497,H2O,6.3576915,1.67E-06,-15.84232727,0.020713149,-21.91427,0.502757159,0.234024142,0.465481472
RSM2509,H2O,8.5567125,0.320189,-66.98518615,1.824736182,-53.97426,1.64599665,0.215448039,0.130892149
RSM2513,H2O,8.909748,0.000170044,-36.69399995,0.392386536,-34.82699,0.836633953,0.007090785,0.008475374
RSM2514,H2O,5.6900265,0.00691767,-60.54875312,0.147526643,-28.02388,0.738634796,0.475708643,0.644037683
RSM2517,H2O,16.359624,4.62E-06,-17.50734586,0.037902814,-17.91125,0.674942162,0.417571927,0.618678089
RSM2518,H2O,12.881106,1.61E-05,-29.49673282,0.049290235,-25.56079,0.439265633,0.398896622,0.908098862
RSM2523,H2O,23.683626,7.23E-05,-32.0295477,0.210519844,-30.01659,1.03711599,0.103743314,0.10003058
RSM2529,H2O,2.7060246,0.269952,-65.09547114,2.2714813,-93.58192,0.410643521,6.46E-06,1.57E-05
RSM2531,H2O,9.5880135,188.178,-83.56649466,3.682032287,-56.70075,1.516035412,0.05159094,0.034030168
RSM2573,H2O,5.13407745,0.000179425,-34.38199562,0.375469335,-37.8879,0.939818523,0.174102475,0.185251164
RSM2581,H2O,10.083018,1.11515,-70.97432035,4.597774906,-47.60571,1.328208911,0.014807889,0.011148765
RSM2615,H2O,9.2732175,0.000532766,-38.37563346,0.559034972,-35.17582,1.046871875,0.207085938,0.197814024
RSM2620,H2O,32.4964155,9.92E-05,-33.40707111,0.284922324,-30.39527,0.946016029,0.171931586,0.181742784
RSM2622,H2O,5.5370463,9.32E-06,-24.66722411,0.038043766,-25.06577,1.010569929,0.708384112,0.700974858
RSM2629,H2O,2.71928355,0.0046121,-54.38578595,1.912863442,-65.35138,0.453999273,0.005109453,0.01125432
RSM2631,H2O,5.25244785,0.130455,-59.07274394,3.572628805,-58.96483,1.415482956,0.00261371,0.001846515
RSM2636,H2O,5.2424856,0.176827,-60.15400309,3.802483564,-62.93291,1.820227355,0.001738164,0.000954916
RSM2655,H2O,7.9759605,7.05E-05,-31.66358613,0.394120412,-35.01284,2.077977569,0.214901304,0.103418491
RSM2666,H2O,14.531676,0.000661152,-42.73162294,0.909853086,-39.13798,1.894309815,0.138184879,0.072947349
RSM2681,H2O,17.3158335,0.001978,-49.76663144,1.278303621,-39.75087,0.942868351,0.033010235,0.035010439
RSM2682,H2O,21.571407,0.00102836,-39.01087469,1.330602162,-37.21026,2.253281036,0.073049805,0.032419305
RSM2700,H2O,7.541118,2.75E-05,-29.17902612,0.171606531,-33.05225,0.997869966,0.454225873,0.455195455
RSM2702,H2O,21.5103015,0.191022,-62.56440105,2.605946646,-39.934,1.675083819,0.098210238,0.058630044
RSM2706,H2O,12.0144735,9.57E-06,-19.44135376,0.060042618,-23.54150724,0.68353139,0.624868713,0.914177056
RSM2712,H2O,8.684418,0.000380422,-45.26294077,0.289016215,-35.68063,0.610299413,0.031857949,0.052200524
RSM2713,H2O,11.1432345,2.01E-05,-24.67321651,0.108818118,-26.79458,1.956151951,0.753445687,0.38516726
RSM2721,H2O,16.8352035,1.24E-05,-23.28844068,0.064193549,-22.2189,1.107254044,0.611550241,0.552312492
RSM2722,H2O,16.598718,0.11164,-62.79441707,5.249625487,-50.52142,1.528397006,0.029366741,0.019214079
RSM2724,H2O,12.2938605,25354500,-114.0269811,9.945186359,-59.33433,3.941178111,0.02261992,0.00573938
RSM2728,H2O,18.8699445,1.26E-05,-20.49732718,0.103218252,-25.59538,1.119948444,0.218083259,0.194726159
RSM2729,H2O,6.208563,8.69E-05,-31.76870506,0.192422288,-33.15107,1.892469707,1.107444618,0.585184858
RSM2738,H2O,20.7386295,7.08E-05,-35.25362603,0.13026378,-31.49537,1.020079635,0.418280579,0.410046985
RSM2742,H2O,7.511703,7.65E-05,-35.48181947,0.417124674,-34.63942,0.496656491,0.019738576,0.039742913
RSM2752,H2O,7.94649,0.00026484,-35.73122993,0.339556505,-33.95138,1.738521439,1.456346646,0.837692659
RSM2754,H2O,11.9538675,0.000378898,-43.88319466,0.289966988,-37.73992,0.277185749,0.092234238,0.332752452
RSM2759,H2O,33.7322895,3.19E-05,-26.72972739,0.128966488,-23.67503,0.769062265,0.430501396,0.559774436
RSM2771,H2O,13.9204545,0.000639164,-48.92092885,0.422056326,-36.69273,1.807283737,1.217472376,0.673647613
RSM2772,H2O,20.025843,185.805,-76.98053773,12.81345732,-58.30464,1.693425062,0.005819615,0.003436594
RSM2774,H2O,34.8701505,0.069248,-57.57363351,7.213902171,-50.7996,1.660902419,0.013194517,0.007944186
RSM2783,H2O,37.1901615,7.16E-06,-22.98660669,0.037931892,-16.38043,0.113933352,0.107704545,0.945329379
RSM2785,H2O,19.451751,2.66E-05,-24.21524832,0.131720492,-26.05591,3.595810516,1.083673325,0.301371087
RSM2789,H2O,50.377017,2.94E-05,-26.21759833,0.105256444,-21.14632,0.404858908,0.40457543,0.999299809
RSM2800,H2O,18.015855,0.000791521,-44.75557277,0.618636552,-35.76133,1.286039427,0.118790679,0.092369391
RSM2808,H2O,21.94581,0.000583275,-42.96853915,0.879855961,-36.08529,0.387996845,0.031501779,0.081190812
RSM2817,H2O,6.2607885,0.00742167,-53.49955089,2.86408383,-48.50876,0.93103887,0.009935925,0.01067187
RSM2818,H2O,10.975236,6.06E-05,-29.72059696,0.300876162,-31.90859,2.048934438,0.353261841,0.172412467
RSM2819,H2O,9.1696545,2.13E-05,-26.49815632,0.06905447,-26.54222,1.162859267,1.010189513,0.868711754
RSM2826,H2O,7.98534,0.00411096,-47.62401755,4.300015605,-52.96318,1.694127954,0.016433169,0.009700076
RSM2827,H2O,20.3278185,6.53E-05,-29.81094838,0.307507711,-31.94138,1.450164885,0.138834443,0.095737005
RSM2831,H2O,32.606916,0.000958419,-40.63806512,1.68690439,-34.70205,0.924704112,0.023841277,0.025782601
RSM2836,H2O,5.9659725,1.88E-05,-29.51817538,0.050116144,-28.30044,1.142387389,0.994791891,0.870800834
RSM2839,H2O,44.0995785,1.68E-05,-20.69631822,0.098569004,-19.2866,0.840937015,0.620328074,0.737662944
RSM2842,H2O,10.080243,0.000118355,-37.45302691,0.253808236,-32.26533,0.655222771,0.058552092,0.089362113
RSM2843,H2O,20.0286735,94.3552,-74.58853086,10.58621002,-53.01036,2.583151194,0.017781669,0.006883712
RSM2845,H2O,14.292915,0.00198708,-47.92006828,0.676924181,-36.87575,2.058212869,0.35711084,0.173505299
RSM2850,H2O,17.3349255,0.14077,-59.68119142,1.056292901,-37.93136,1.210298153,0.113977145,0.094172783
RSM2852,H2O,12.614595,0.0317315,-58.05186041,2.688861058,-47.59929,1.546649554,0.368198162,0.238061791
RSM2861,H2O,15.9919365,0.00553816,-49.51835917,4.297312555,-46.73492,1.084504147,0.325581182,0.300212021
RSM2873,H2O,5.7637305,5.31E-05,-34.18473737,0.154933901,-34.27989,1.002919308,0.300032222,0.299158885
RSM2879,H2O,21.6502725,0.0198168,-54.05163318,2.786881028,-43.15665,2.726881007,0.126438922,0.046367598
RSM2882,H2O,5.51238765,4.30E-05,-34.53634159,0.115802906,-33.39111,0.284361508,0.019869223,0.069873112
RSM2891,H2O,9.468633,0.286961,-65.89325808,8.692716274,-65.36749,3.258343746,0.007250859,0.00222532
RSM2895,H2O,17.2845315,0.00850081,-52.60132049,4.020291054,-48.22425,2.746848466,0.031200495,0.011358652
RSM2896,H2O,17.212326,0.0114474,-49.77331694,8.23403946,-53.25875,1.27194069,0.011355798,0.008927931
RSM2898,H2O,17.9571915,0.00240464,-48.54630123,1.054177441,-38.29214,1.363698955,0.006980742,0.005118976
RSM2904,H2O,9.997104,0.244333,-60.00445475,7.206252049,-64.72331,0.968457365,0.004860498,0.005018804
RSM2905,H2O,15.8476365,9.83E-05,-35.31751188,0.210010573,-31.81278,1.55822033,0.278890961,0.178980441
RSM2910,H2O,8.0192505,3.07E-06,-17.97269082,0.022333375,-19.9875,0.859109092,0.837187223,0.974483021
RSM2922,H2O,11.044389,343.111,-84.43679702,7.90756765,-61.55545,1.955071067,0.014836068,0.007588506
RSM2924,H2O,27.600039,1.69E-05,-23.15355169,0.085488613,-21.48074,1.139702639,0.392751786,0.344609
RSM2929,H2O,30.8218695,0.0515768,-54.1824642,2.061367234,-37.7752,1.928778681,0.112134295,0.058137461
