MOF,Molecule,Uptake_sat [mol/kg],Henry [mol/kg/Pa],Heat_henry [kJ/mol],Uptake_des [mol/kg],Heat_des [kJ/mol],Uptake_CO2_bin [mol/kg],Uptake_CO2_ter [mol/kg],WRC [-]
RSM1774,H2O,13.1457855,4.15E-05,-26.74340029,0.256295483,-31.94727,2.950262183,1.885006997,0.638928638
RSM1787,H2O,8.499936,0.000532667,-39.2153656,0.933956943,-40.0025,0.942339562,0.024569533,0.026072908
RSM1788,H2O,31.6362765,9.59E-05,-34.91996095,0.323688718,-30.25999,0.588151988,0.115345696,0.196115457
RSM1795,H2O,7.941828,0.00333152,-49.29797158,1.216892387,-42.14446,0.853162569,0.027615767,0.032368705
RSM1797,H2O,13.710276,0.000365842,-38.83828674,0.351465505,-33.82139,0.579913706,0.024936773,0.043000833
RSM1799,H2O,18.974007,406.517,-85.43820499,6.208178274,-52.89335,3.735245556,0.681113453,0.182347705
RSM1804,H2O,11.9769555,7.81E-06,-20.7728606,0.046996187,-21.75677,1.865021463,1.512605467,0.811039174
RSM1812,H2O,5.23822875,1.55E-05,-24.93608776,0.082689811,-28.9521,1.049134917,0.7398691,0.705218259
RSM1814,H2O,5.37319365,1.33E-05,-25.42471518,0.070962133,-28.53795,0.699497867,0.230557732,0.329604625
RSM1817,H2O,16.8090075,0.0240227,-56.13509476,2.365666622,-44.52541,2.450877998,0.009969726,0.004067818
RSM1818,H2O,8.3777805,0.000204974,-40.46257035,0.522817048,-39.55475,2.206598725,0.882823488,0.400083385
RSM1829,H2O,20.536887,0.000156133,-39.36677622,0.228902734,-33.6088,0.328608543,0.035599653,0.108334532
RSM1840,H2O,20.985993,6.83E-05,-29.71616143,0.267576494,-30.54087,0.289951624,0.084270554,0.290636599
RSM1847,H2O,31.802499,0.0963786,-58.29492362,7.383646031,-47.78222,3.053140713,0.008984422,0.002942682
RSM1848,H2O,63.543615,1.49E-05,-20.00858628,0.103261907,-18.62653,0.11587791,0.103437199,0.892639494
RSM1870,H2O,5.0100516,6.67859,-75.80183518,3.021240291,-58.25467,0.740130971,0.004186178,0.005655996
RSM1877,H2O,7.8649605,3.33E-06,-18.93309594,0.030393716,-22.83834,0.416933152,0.24966967,0.598824221
RSM1886,H2O,19.193343,0.00081082,-36.24981762,6.55057226,-48.30851,2.473018416,0.026509599,0.010719532
RSM1889,H2O,19.51269,0.000455716,-35.11248801,2.563341757,-41.45614,2.58135023,0.030860415,0.011955144
RSM1890,H2O,58.429845,1.84E-05,-18.82781954,0.137282813,-19.34025,0.483477177,0.30112809,0.622838272
RSM1911,H2O,8.792865,0.296707,-62.63661661,4.899371713,-56.59415,1.38483646,0.028994993,0.020937485
RSM1916,H2O,22.811055,0.00268791,-44.60977927,4.122453823,-45.33462,0.984276898,0.014518288,0.014750206
RSM1926,H2O,22.0258965,3.47E-05,-25.93364261,0.265752612,-31.97367,1.902089595,0.12579103,0.066133073
RSM1927,H2O,26.31921,5.32E-05,-26.85028182,0.239724849,-27.72222,0.644318818,0.107633087,0.167049424
